# Region type : patch outlet
# Faces         : 4
# Area          : 1.00000000e-02
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(T)
278             	8.14140530e-01
278.5           	8.14925079e-01
279             	8.15705885e-01
279.5           	8.16482972e-01
280             	8.17256365e-01
280.5           	8.18026087e-01
281             	8.18792162e-01
281.5           	8.19554612e-01
282             	8.20313462e-01
282.5           	8.21068734e-01
283             	8.21820451e-01
283.5           	8.22568636e-01
284             	8.23313310e-01
284.5           	8.24054497e-01
285             	8.24792219e-01
285.5           	8.25526497e-01
286             	8.26257354e-01
286.5           	8.26984810e-01
287             	8.27708888e-01
287.5           	8.28429610e-01
288             	8.29146996e-01
288.5           	8.29861068e-01
289             	8.30571847e-01
289.5           	8.31279354e-01
290             	8.31983609e-01
290.5           	8.32684635e-01
291             	8.33382450e-01
291.5           	8.34077077e-01
292             	8.34768535e-01
292.5           	8.35456845e-01
293             	8.36142028e-01
293.5           	8.36824102e-01
294             	8.37503090e-01
294.5           	8.38179010e-01
295             	8.38851883e-01
295.5           	8.39521729e-01
296             	8.40188567e-01
296.5           	8.40852418e-01
297             	8.41513300e-01
297.5           	8.42171234e-01
298             	8.42826239e-01
298.5           	8.43478334e-01
299             	8.44127539e-01
299.5           	8.44773872e-01
300             	8.45417354e-01
300.5           	8.46058003e-01
301             	8.46695839e-01
301.5           	8.47330880e-01
302             	8.47963144e-01
302.5           	8.48592652e-01
303             	8.49219421e-01
303.5           	8.49843470e-01
304             	8.50464818e-01
304.5           	8.51083483e-01
305             	8.51699483e-01
305.5           	8.52312837e-01
306             	8.52923562e-01
306.5           	8.53531678e-01
307             	8.54137201e-01
307.5           	8.54740149e-01
308             	8.55340542e-01
308.5           	8.55938395e-01
309             	8.56533726e-01
309.5           	8.57126554e-01
310             	8.57716896e-01
310.5           	8.58304767e-01
311             	8.58890187e-01
311.5           	8.59473172e-01
312             	8.60053738e-01
312.5           	8.60631903e-01
313             	8.61207683e-01
313.5           	8.61781095e-01
314             	8.62352155e-01
314.5           	8.62920879e-01
315             	8.63487284e-01
315.5           	8.64051386e-01
316             	8.64613201e-01
316.5           	8.65172744e-01
317             	8.65730032e-01
317.5           	8.66285079e-01
318             	8.66837902e-01
318.5           	8.67388514e-01
319             	8.67936933e-01
319.5           	8.68483172e-01
320             	8.69027246e-01
320.5           	8.69569171e-01
321             	8.70108961e-01
321.5           	8.70646629e-01
322             	8.71182191e-01
322.5           	8.71715660e-01
323             	8.72247051e-01
323.5           	8.72776378e-01
324             	8.73303653e-01
324.5           	8.73828891e-01
325             	8.74352105e-01
325.5           	8.74873308e-01
326             	8.75392513e-01
326.5           	8.75909733e-01
327             	8.76424981e-01
327.5           	8.76938270e-01
328             	8.77449611e-01
328.5           	8.77959018e-01
329             	8.78466501e-01
329.5           	8.78972074e-01
330             	8.79475748e-01
330.5           	8.79977535e-01
331             	8.80477445e-01
331.5           	8.80975491e-01
332             	8.81471684e-01
332.5           	8.81966034e-01
333             	8.82458552e-01
333.5           	8.82949250e-01
334             	8.83438137e-01
334.5           	8.83925224e-01
335             	8.84410521e-01
335.5           	8.84894038e-01
336             	8.85375786e-01
336.5           	8.85855773e-01
337             	8.86334010e-01
337.5           	8.86810505e-01
338             	8.87285269e-01
338.5           	8.87758309e-01
339             	8.88229636e-01
339.5           	8.88699258e-01
340             	8.89167184e-01
340.5           	8.89633422e-01
341             	8.90097980e-01
341.5           	8.90560868e-01
342             	8.91022092e-01
